plan_id,status,px_per_m,overall_width_m,overall_depth_m,internal_area_m2,room_code,room_name,room_width_m,room_depth_m,room_area_m2,is_rectangular,outdoor
4606,ok,99.999,13.39,10.88,126.39,WC,Toilet,1.49,2.32,3.3,False,False
4606,ok,99.999,13.39,10.88,126.39,MH,Bedroom,2.82,3.94,11.12,True,False
4606,ok,99.999,13.39,10.88,126.39,OH,Living room,5.75,3.54,20.35,True,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,5.75,2.52,9.2,False,False
4606,ok,99.999,13.39,10.88,126.39,K,Kitchen,2.83,3.58,10.09,True,False
4607,ok,99.956,6.42,9.62,31.5,K,Kitchen,4.77,1.46,4.07,False,False
4607,ok,99.956,6.42,9.62,31.5,H,H,4.77,3.26,15.55,True,False
4607,ok,99.956,6.42,9.62,31.5,ET,Entrance hall,1.92,3.48,6.72,True,False
4607,ok,99.956,6.42,9.62,31.5,PARVEKE,Balcony,4.36,1.79,7.8,True,True
4607,ok,99.956,6.42,9.62,31.5,UNDEFINED,UNDEFINED,2.74,1.94,5.16,False,False
4617,ok,99.961,7.55,11.93,47.97,ULKOTILA,Outdoor,3.9,1.77,6.9,True,True
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,2.97,1.18,3.75,False,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,2.97,3.53,10.49,True,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,3.59,4.3,15.42,True,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,1.8,3.76,5.29,False,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,2.38,2.1,4.96,True,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,2.88,1.49,4.12,False,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,1.51,1.49,2.25,True,False
4617,ok,99.961,7.55,11.93,47.97,UNDEFINED,UNDEFINED,1.23,1.37,1.69,True,False
4623,ok,100.014,7.51,9.01,26.79,OH,Living room,3.31,4.81,15.9,True,False
4623,ok,100.014,7.51,9.01,26.79,ET,Entrance hall,1.34,2.73,3.59,False,False
4623,ok,100.014,7.51,9.01,26.79,VH,Walk-in closet,1.82,1.54,2.64,False,False
4623,ok,100.014,7.51,9.01,26.79,KPH,Bathroom,1.25,1.87,2.33,True,False
4623,ok,100.014,7.51,9.01,26.79,KK,KK,1.34,1.73,2.32,True,False
4633,ok,99.976,9.74,7.3,48.14,KEITTIÖ,KEITTIÖ,2.67,3.06,8.16,True,False
4633,ok,99.976,9.74,7.3,48.14,OH,Living room,2.66,3.29,8.77,False,False
4633,ok,99.976,9.74,7.3,48.14,MH,Bedroom,2.33,3.33,7.73,True,False
4633,ok,99.976,9.74,7.3,48.14,MH,Bedroom,2.33,3.12,7.15,True,False
4633,ok,99.976,9.74,7.3,48.14,ET,Entrance hall,2.09,4.49,9.38,True,False
4633,ok,99.976,9.74,7.3,48.14,PH,PH,0.94,1.84,1.87,False,False
4633,ok,99.976,9.74,7.3,48.14,VH,Walk-in closet,0.83,1.84,1.52,True,False
4633,ok,99.976,9.74,7.3,48.14,LASI.PARVEKE,LASI.PARVEKE,1.08,3.3,3.56,True,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,3.7,0.81,0.65,False,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,7.44,7.67,41.52,False,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,3.67,3.46,12.69,True,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,3.67,2.72,10.01,True,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,1.33,2.38,2.93,False,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,1.46,1.48,2.17,True,False
4634,ok,99.937,13.44,8.87,71.45,UNDEFINED,UNDEFINED,1.48,1.0,1.48,True,False
4643,ok,99.934,19.9,17.58,185.86,ULKOTILA,Outdoor,0.83,1.12,0.93,True,True
4643,ok,99.934,19.9,17.58,185.86,ULKOTILA,Outdoor,0.9,1.11,1.0,True,True
4643,ok,99.934,19.9,17.58,185.86,ULKOTILA,Outdoor,1.28,1.77,2.28,True,True
4643,ok,99.934,19.9,17.58,185.86,TUPAKEITTIÖ,TUPAKEITTIÖ,7.08,4.86,30.42,False,False
4643,ok,99.934,19.9,17.58,185.86,MH,Bedroom,3.12,3.73,11.64,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,0.48,0.65,0.31,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,0.48,0.92,0.44,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,0.48,0.89,0.43,True,False
4643,ok,99.934,19.9,17.58,185.86,ET,Entrance hall,1.19,3.73,4.44,True,False
4643,ok,99.934,19.9,17.58,185.86,ET,Entrance hall,1.19,1.92,2.29,True,False
4643,ok,99.934,19.9,17.58,185.86,H,H,3.12,4.0,12.24,False,False
4643,ok,99.934,19.9,17.58,185.86,KEITTIÖ,KEITTIÖ,3.82,3.23,11.81,False,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,4.15,0.66,3.17,False,False
4643,ok,99.934,19.9,17.58,185.86,ET,Entrance hall,1.84,3.73,6.86,True,False
4643,ok,99.934,19.9,17.58,185.86,ET,Entrance hall,2.83,1.94,5.49,True,False
4643,ok,99.934,19.9,17.58,185.86,WC/PH,WC/PH,1.22,2.44,2.99,True,False
4643,ok,99.934,19.9,17.58,185.86,WC/PH,WC/PH,2.33,1.4,3.27,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,0.53,1.13,0.59,True,False
4643,ok,99.934,19.9,17.58,185.86,VH,Walk-in closet,0.5,1.13,0.57,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,0.89,1.68,1.49,True,False
4643,ok,99.934,19.9,17.58,185.86,H,H,7.38,4.86,34.4,False,False
4643,ok,99.934,19.9,17.58,185.86,VH,Walk-in closet,1.44,1.57,2.26,True,False
4643,ok,99.934,19.9,17.58,185.86,H,H,3.24,3.56,10.79,False,False
4643,ok,99.934,19.9,17.58,185.86,H,H,3.24,4.11,12.8,False,False
4643,ok,99.934,19.9,17.58,185.86,KEITTIÖ,KEITTIÖ,3.98,3.17,12.6,True,False
4643,ok,99.934,19.9,17.58,185.86,UNDEFINED,UNDEFINED,4.52,0.77,3.5,True,False
4643,ok,99.934,19.9,17.58,185.86,H,H,2.37,3.56,8.44,True,False
4643,ok,99.934,19.9,17.58,185.86,WC,Toilet,1.44,1.82,2.61,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,3.82,4.3,16.45,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,2.92,2.41,6.72,False,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,2.92,2.33,6.2,False,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,1.46,2.65,3.72,False,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,1.43,1.52,2.17,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,1.02,0.81,0.82,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,0.79,0.67,0.53,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,0.57,0.67,0.38,True,False
4673,ok,99.928,8.29,8.18,37.25,UNDEFINED,UNDEFINED,0.5,0.51,0.25,True,False
4674,ok,99.959,12.33,9.36,74.38,ULKOTILA,Outdoor,1.47,2.47,3.62,True,True
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,2.22,2.13,4.73,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,2.22,5.35,9.91,False,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,4.07,4.53,18.47,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,3.64,3.75,13.64,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,0.58,0.62,0.36,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,3.64,3.73,13.58,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,4.07,2.95,12.03,True,False
4674,ok,99.959,12.33,9.36,74.38,UNDEFINED,UNDEFINED,1.04,1.59,1.65,True,False
4675,ok,99.962,10.2,7.14,54.28,PARVEKE,Balcony,2.77,0.67,1.87,True,True
4675,ok,99.962,10.2,7.14,54.28,LASITETTU,LASITETTU,2.77,0.59,1.63,True,False
4675,ok,99.962,10.2,7.14,54.28,K,Kitchen,2.96,3.57,9.52,False,False
4675,ok,99.962,10.2,7.14,54.28,MH,Bedroom,2.88,4.96,14.28,True,False
4675,ok,99.962,10.2,7.14,54.28,KH,Utility room,1.96,1.58,3.1,True,False
4675,ok,99.962,10.2,7.14,54.28,UNDEFINED,UNDEFINED,4.6,1.58,7.29,True,False
4675,ok,99.962,10.2,7.14,54.28,OH,Living room,3.63,5.08,18.46,True,False
4693,ok,99.975,19.28,20.66,170.6,UNDEFINED,UNDEFINED,3.24,7.12,23.07,True,False
4693,ok,99.975,19.28,20.66,170.6,UNDEFINED,UNDEFINED,8.41,3.2,26.93,True,False
4693,ok,99.975,19.28,20.66,170.6,UNDEFINED,UNDEFINED,8.41,3.67,30.83,True,False
4693,ok,99.975,19.28,20.66,170.6,ULKOTILA,Outdoor,1.64,2.06,3.39,True,True
4693,ok,99.975,19.28,20.66,170.6,TEKN,TEKN,1.16,1.27,1.47,True,False
4693,ok,99.975,19.28,20.66,170.6,UNDEFINED,UNDEFINED,1.36,2.02,2.76,True,False
4693,ok,99.975,19.28,20.66,170.6,KPH,Bathroom,1.78,2.02,3.59,True,False
4693,ok,99.975,19.28,20.66,170.6,VARASTO,VARASTO,2.36,2.81,6.62,True,False
4693,ok,99.975,19.28,20.66,170.6,MH,Bedroom,2.94,2.54,7.46,True,False
4693,ok,99.975,19.28,20.66,170.6,MH,Bedroom,3.22,2.39,7.7,True,False
4693,ok,99.975,19.28,20.66,170.6,KHH,KHH,3.22,2.52,6.4,False,False
4693,ok,99.975,19.28,20.66,170.6,MH,Bedroom,2.77,3.23,8.93,True,False
4693,ok,99.975,19.28,20.66,170.6,UNDEFINED,UNDEFINED,0.99,0.2,0.2,True,False
4693,ok,99.975,19.28,20.66,170.6,OH,Living room,5.55,3.25,18.02,True,False
4693,ok,99.975,19.28,20.66,170.6,K,Kitchen,3.43,2.55,8.72,True,False
4693,ok,99.975,19.28,20.66,170.6,WC,Toilet,1.53,1.06,1.62,True,False
4693,ok,99.975,19.28,20.66,170.6,ET,Entrance hall,6.78,3.87,13.17,False,False
4693,ok,99.975,19.28,20.66,170.6,KUISTI,KUISTI,1.6,5.26,8.41,True,True
4693,ok,99.975,19.28,20.66,170.6,KUISTI,KUISTI,5.24,1.54,8.05,True,True
4693,ok,99.975,19.28,20.66,170.6,TERASSI,TERASSI,9.81,6.7,40.05,False,True
4693,ok,99.975,19.28,20.66,170.6,ALLAS,ALLAS,1.79,1.76,3.1,True,False
4702,ok,100.013,12.12,10.34,54.49,ET,Entrance hall,1.58,4.3,6.79,True,False
4702,ok,100.013,12.12,10.34,54.49,OH,Living room,5.28,3.58,18.91,True,False
4702,ok,100.013,12.12,10.34,54.49,ULKOTILA,Outdoor,1.58,3.46,5.48,True,True
4702,ok,100.013,12.12,10.34,54.49,MH,Bedroom,3.8,3.58,13.6,True,False
4702,ok,100.013,12.12,10.34,54.49,K,Kitchen,3.8,2.55,9.68,True,False
4702,ok,100.013,12.12,10.34,54.49,KPH,Bathroom,2.05,1.53,3.14,True,False
4702,ok,100.013,12.12,10.34,54.49,VH,Walk-in closet,1.54,1.53,2.36,True,False
4708,ok,99.971,24.51,17.96,195.83,ULKOTILA,Outdoor,7.71,1.44,12.89,False,True
4708,ok,99.971,24.51,17.96,195.83,RT,RT,3.22,3.99,12.41,False,False
4708,ok,99.971,24.51,17.96,195.83,OH,Living room,4.61,3.88,17.92,True,False
4708,ok,99.971,24.51,17.96,195.83,K,Kitchen,2.99,4.86,14.52,True,False
4708,ok,99.971,24.51,17.96,195.83,ET,Entrance hall,2.39,2.52,5.88,False,False
4708,ok,99.971,24.51,17.96,195.83,TERASSI,TERASSI,11.04,1.73,19.11,True,True
4708,ok,99.971,24.51,17.96,195.83,AT,AT,6.94,7.21,48.53,False,False
4708,ok,99.971,24.51,17.96,195.83,MH,Bedroom,2.96,4.71,12.77,False,False
4708,ok,99.971,24.51,17.96,195.83,MH,Bedroom,2.96,4.04,11.03,False,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,1.41,4.36,6.15,True,False
4708,ok,99.971,24.51,17.96,195.83,VAR,Storage,3.45,2.84,9.8,True,False
4708,ok,99.971,24.51,17.96,195.83,KHH,KHH,3.45,2.11,7.3,True,False
4708,ok,99.971,24.51,17.96,195.83,MH,Bedroom,2.25,3.29,7.41,True,False
4708,ok,99.971,24.51,17.96,195.83,PUKUH,PUKUH,3.47,1.73,5.8,False,False
4708,ok,99.971,24.51,17.96,195.83,TYÖH,TYÖH,1.94,3.35,6.5,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,3.48,1.41,4.91,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,3.45,1.25,4.32,True,False
4708,ok,99.971,24.51,17.96,195.83,PSH,Shower room,2.03,2.74,5.57,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,1.34,2.74,3.68,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,2.25,1.46,3.28,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,1.94,0.9,1.74,True,False
4708,ok,99.971,24.51,17.96,195.83,TK,Utility,1.18,1.52,1.79,True,False
4708,ok,99.971,24.51,17.96,195.83,VH,Walk-in closet,1.32,1.38,1.83,True,False
4708,ok,99.971,24.51,17.96,195.83,UNDEFINED,UNDEFINED,1.1,1.52,1.67,True,False
4708,ok,99.971,24.51,17.96,195.83,WC,Toilet,1.04,0.99,1.02,True,False
4712,ok,100.018,12.59,13.99,67.18,UNDEFINED,UNDEFINED,1.27,1.63,2.07,True,False
4712,ok,100.018,12.59,13.99,67.18,KK,KK,3.13,2.75,6.56,False,False
4712,ok,100.018,12.59,13.99,67.18,OH,Living room,4.0,6.38,25.53,True,False
4712,ok,100.018,12.59,13.99,67.18,ET,Entrance hall,3.23,1.9,6.14,True,False
4712,ok,100.018,12.59,13.99,67.18,MH,Bedroom,3.61,6.38,23.03,True,False
4712,ok,100.018,12.59,13.99,67.18,PIHA,PIHA,11.41,4.76,54.29,True,True
4712,ok,100.018,12.59,13.99,67.18,UNDEFINED,UNDEFINED,1.76,2.19,3.86,True,False
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,3.27,3.22,9.52,False,False
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,4.99,3.52,17.27,True,False
4723,estimated,100.0,15.29,8.81,55.22,ULKOTILA,Outdoor,1.49,4.57,6.82,True,True
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,3.72,3.63,11.69,False,False
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,3.72,3.09,11.51,True,False
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,1.71,1.75,3.0,True,False
4723,estimated,100.0,15.29,8.81,55.22,UNDEFINED,UNDEFINED,1.47,1.52,2.24,True,False
4738,ok,100.03,11.96,10.9,88.66,OH,Living room,5.71,3.67,20.95,True,False
4738,ok,100.03,11.96,10.9,88.66,MH,Bedroom,4.12,3.67,15.12,True,False
4738,ok,100.03,11.96,10.9,88.66,LASITETTU PARVEKE,LASITETTU PARVEKE,1.49,3.52,5.24,True,True
4738,ok,100.03,11.96,10.9,88.66,K,Kitchen,3.66,3.72,13.61,True,False
4738,ok,100.03,11.96,10.9,88.66,MH,Bedroom,3.63,3.72,13.51,True,False
4738,ok,100.03,11.96,10.9,88.66,ET,Entrance hall,3.46,3.72,8.21,False,False
4738,ok,100.03,11.96,10.9,88.66,MH,Bedroom,3.66,2.56,9.38,True,False
4738,ok,100.03,11.96,10.9,88.66,WC,Toilet,1.68,1.38,2.33,True,False
4738,ok,100.03,11.96,10.9,88.66,KH,Utility room,1.64,1.29,2.04,False,False
4738,ok,100.03,11.96,10.9,88.66,UNDEFINED,UNDEFINED,1.68,1.06,1.78,True,False
4738,ok,100.03,11.96,10.9,88.66,UNDEFINED,UNDEFINED,1.5,1.16,1.74,True,False
